iter	Passed	Remaining
0	0	87
1	1	75
2	2	82
3	3	81
4	4	88
5	6	95
6	8	107
7	9	110
8	11	113
9	12	113
10	13	111
11	14	107
12	15	106
13	17	104
14	18	103
15	20	105
16	21	102
17	22	102
18	24	105
19	26	107
20	28	107
21	30	108
22	32	107
23	33	105
24	34	102
25	35	100
26	36	98
27	37	95
28	38	93
29	39	92
30	41	92
31	42	90
32	43	88
33	44	87
34	45	85
35	46	82
36	47	81
37	49	79
38	49	78
39	50	76
40	51	74
41	51	71
42	53	70
43	55	70
44	57	69
45	57	68
46	59	66
47	60	65
48	61	64
49	62	62
50	63	61
51	64	59
52	65	57
53	65	56
54	66	54
55	67	53
56	68	52
57	70	50
58	71	49
59	72	48
60	72	46
61	73	45
62	75	44
63	76	42
64	76	41
65	78	40
66	78	38
67	79	37
68	80	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	29
74	85	28
75	86	27
76	87	26
77	88	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	92	17
84	93	16
85	94	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	99	7
93	100	6
94	101	5
95	101	4
96	102	3
97	103	2
98	103	1
99	104	0
