iter	Passed	Remaining
0	127	127499
1	128	64285
2	130	43273
3	132	32893
4	134	26850
5	137	22729
6	138	19693
7	140	17469
8	142	15663
9	142	14152
10	144	13023
11	147	12120
12	149	11358
13	150	10629
14	152	9993
15	153	9427
16	154	8911
17	155	8483
18	156	8089
19	157	7734
20	159	7442
21	160	7140
22	161	6851
23	162	6607
24	163	6383
25	164	6171
26	165	5970
27	166	5778
28	167	5602
29	168	5437
30	169	5285
31	169	5138
32	170	5002
33	171	4872
34	172	4743
35	172	4626
36	173	4516
37	174	4415
38	175	4314
39	175	4223
40	176	4133
41	177	4051
42	178	3970
43	179	3890
44	179	3814
45	180	3739
46	180	3668
47	181	3600
48	182	3534
49	182	3471
50	183	3411
51	183	3352
52	184	3296
53	185	3241
54	185	3189
55	186	3138
56	186	3090
57	187	3045
58	188	3002
59	188	2958
60	189	2916
61	190	2875
62	190	2838
63	191	2801
64	192	2772
65	193	2738
66	194	2703
67	194	2669
68	195	2636
69	196	2604
70	196	2573
71	197	2544
72	198	2514
73	198	2486
74	199	2457
75	199	2430
76	200	2403
77	201	2376
78	201	2350
79	202	2327
80	203	2306
81	204	2285
82	204	2259
83	205	2237
84	205	2214
85	206	2193
86	207	2172
87	207	2153
88	208	2134
89	209	2114
90	209	2096
91	210	2079
92	211	2061
93	211	2042
94	212	2025
95	213	2007
96	213	1989
97	214	1972
98	214	1955
99	215	1938
100	215	1922
101	216	1906
102	217	1891
103	217	1876
104	218	1860
105	218	1846
106	219	1832
107	220	1819
108	221	1806
109	221	1792
110	222	1779
111	222	1767
112	223	1755
113	224	1743
114	224	1731
115	225	1718
116	225	1705
117	226	1693
118	227	1681
119	227	1669
120	228	1658
121	228	1645
122	229	1634
123	229	1623
124	230	1613
125	231	1602
126	231	1591
127	232	1581
128	232	1571
129	233	1560
130	233	1551
131	234	1541
132	234	1531
133	235	1522
134	236	1513
135	236	1505
136	237	1497
137	239	1493
138	239	1484
139	240	1476
140	240	1467
141	241	1459
142	242	1451
143	242	1442
144	243	1434
145	243	1426
146	244	1418
147	245	1411
148	245	1404
149	246	1397
150	247	1389
151	247	1382
152	248	1375
153	248	1367
154	249	1360
155	250	1353
156	250	1346
157	251	1339
158	251	1332
159	252	1326
160	253	1318
161	254	1314
162	254	1308
163	255	1302
164	256	1296
165	256	1290
166	257	1284
167	258	1277
168	258	1271
169	259	1265
170	259	1259
171	260	1253
172	261	1247
173	261	1242
174	262	1236
175	262	1230
176	263	1224
177	264	1219
178	264	1213
179	265	1208
180	265	1202
181	266	1197
182	266	1191
183	267	1186
184	268	1181
185	268	1176
186	270	1174
187	270	1169
188	271	1164
189	272	1160
190	272	1155
191	273	1150
192	274	1145
193	274	1141
194	275	1136
195	275	1131
196	276	1126
197	276	1121
198	277	1117
199	278	1112
200	278	1108
201	279	1103
202	280	1099
203	280	1094
204	281	1090
205	282	1086
206	282	1083
207	283	1079
208	284	1075
209	285	1072
210	285	1069
211	286	1065
212	287	1061
213	287	1057
214	288	1053
215	289	1049
216	289	1045
217	290	1041
218	290	1037
219	291	1033
220	292	1029
221	292	1025
222	293	1021
223	293	1017
224	294	1014
225	294	1010
226	295	1006
227	296	1003
228	296	999
229	297	996
230	298	992
231	298	989
232	299	985
233	300	982
234	300	979
235	301	977
236	302	974
237	303	970
238	303	967
239	304	964
240	305	961
241	305	958
242	306	954
243	307	951
244	307	948
245	308	944
246	308	941
247	309	938
248	310	935
249	310	932
250	311	929
251	311	926
252	312	922
253	313	919
254	313	916
255	314	913
256	314	910
257	315	908
258	316	905
259	317	903
260	317	900
261	318	897
262	319	894
263	319	891
264	320	888
265	320	885
266	321	882
267	322	879
268	322	877
269	323	874
270	323	871
271	324	868
272	325	865
273	325	863
274	326	860
275	327	858
276	327	856
277	328	853
278	329	850
279	329	848
280	330	845
281	331	843
282	332	841
283	332	838
284	333	835
285	333	833
286	334	830
287	335	828
288	335	825
289	336	823
290	336	820
291	337	817
292	337	815
293	338	812
294	339	810
295	339	808
296	340	805
297	341	803
298	341	800
299	342	798
300	342	796
301	343	793
302	343	791
303	344	788
304	345	786
305	345	784
306	346	782
307	347	780
308	348	779
309	348	776
310	349	774
311	350	772
312	350	770
313	351	767
314	352	765
315	352	763
316	353	761
317	353	759
318	354	756
319	355	754
320	355	752
321	356	750
322	356	748
323	357	746
324	358	743
325	358	741
326	359	739
327	359	737
328	360	735
329	361	733
330	361	731
331	362	730
332	363	728
333	364	726
334	364	723
335	365	721
336	365	719
337	366	717
338	367	716
339	368	714
340	369	713
341	369	711
342	370	709
343	370	707
344	371	705
345	372	703
346	372	701
347	373	699
348	374	697
349	374	696
350	375	694
351	376	692
352	376	690
353	377	688
354	377	686
355	378	684
356	379	682
357	380	681
358	381	680
359	381	678
360	382	676
361	382	674
362	383	673
363	384	671
364	384	669
365	385	668
366	386	666
367	386	664
368	387	662
369	388	660
370	388	658
371	389	657
372	389	655
373	390	653
374	391	651
375	391	650
376	392	648
377	392	646
378	393	644
379	394	643
380	395	641
381	396	640
382	396	638
383	397	637
384	397	635
385	398	633
386	399	632
387	399	630
388	400	628
389	400	626
390	401	625
391	401	623
392	402	621
393	403	620
394	403	618
395	404	616
396	404	614
397	405	613
398	406	611
399	406	609
400	407	608
401	407	606
402	408	605
403	409	603
404	409	601
405	410	600
406	411	599
407	412	597
408	412	596
409	413	594
410	414	593
411	414	591
412	415	590
413	415	588
414	416	586
415	416	585
416	417	583
417	418	582
418	418	580
419	419	578
420	419	577
421	420	575
422	421	574
423	421	573
424	422	571
425	423	570
426	424	569
427	424	567
428	425	566
429	426	564
430	426	563
431	427	562
432	428	560
433	428	559
434	429	557
435	430	556
436	430	554
437	431	553
438	431	551
439	432	550
440	432	548
441	433	547
442	434	545
443	434	544
444	435	543
445	436	541
446	436	540
447	437	538
448	437	537
449	438	535
450	439	534
451	439	532
452	440	531
453	440	530
454	441	528
455	442	527
456	443	526
457	443	525
458	444	523
459	445	522
460	445	521
461	446	519
462	446	518
463	447	516
464	448	515
465	448	514
466	449	512
467	449	511
468	450	509
469	450	508
470	451	507
471	452	505
